"session_id","session_date_time","session_status","mentor_domain_id","domain_name","mentor_id","mentor_role","mentor_reg_date","mentor_region_id","mentor_region_name","mentee_id","mentee_role","mentee_reg_date","mentee_region_id","mentee_region_name"
90,2021-06-27 00:00:00.000,canceled,4,DS,1492,mentor,2021-05-11 00:00:00.000,1,г Москва,3721,mentee,2021-02-22 00:00:00.000,1,г Москва
91,2021-06-27 00:00:00.000,finished,5,Python для аналитики данных,3040,mentor,2021-02-24 00:00:00.000,7,Нижегородская обл,2537,mentee,2021-05-25 00:00:00.000,2,г Санкт-Петербург
93,2021-06-29 00:00:00.000,finished,4,DS,3733,mentor,2021-01-14 00:00:00.000,2,г Санкт-Петербург,1525,mentee,2021-02-10 00:00:00.000,1,г Москва
94,2021-06-29 00:00:00.000,finished,4,DS,2166,mentor,2021-06-29 00:00:00.000,0,Другое,992,mentee,2021-06-08 00:00:00.000,2,г Санкт-Петербург
96,2021-06-29 00:00:00.000,finished,6,Машинное обучение,1132,mentor,2021-06-26 00:00:00.000,1,г Москва,2883,mentee,2021-06-21 00:00:00.000,7,Нижегородская обл
99,2021-06-30 00:00:00.000,finished,7,SQL,2892,mentor,2021-03-09 00:00:00.000,3,Ростовская обл,3793,mentee,2021-02-08 00:00:00.000,1,г Москва
100,2021-07-01 00:00:00.000,finished,1,Продуктовая аналитика,221,mentor,2021-06-29 00:00:00.000,1,г Москва,3658,mentee,2021-04-23 00:00:00.000,3,Ростовская обл
101,2021-07-03 00:00:00.000,finished,6,Машинное обучение,688,mentor,2021-06-30 00:00:00.000,1,г Москва,95,mentee,2021-05-04 00:00:00.000,1,г Москва
102,2021-07-04 00:00:00.000,finished,7,SQL,1398,mentor,2021-04-30 00:00:00.000,0,Другое,1952,mentee,2021-07-02 00:00:00.000,1,г Москва
103,2021-07-04 00:00:00.000,finished,6,Машинное обучение,560,mentor,2021-02-13 00:00:00.000,1,г Москва,1297,mentee,2021-05-22 00:00:00.000,1,г Москва
104,2021-07-05 00:00:00.000,finished,5,Python для аналитики данных,1526,mentor,2021-05-27 00:00:00.000,2,г Санкт-Петербург,1809,mentee,2021-01-31 00:00:00.000,5,Ленинградская обл
105,2021-07-05 00:00:00.000,finished,7,SQL,2105,mentor,2021-05-05 00:00:00.000,1,г Москва,638,mentee,2021-03-30 00:00:00.000,1,г Москва
106,2021-07-06 00:00:00.000,finished,1,Продуктовая аналитика,355,mentor,2021-01-10 00:00:00.000,4,Краснодарский край,4750,mentee,2021-04-13 00:00:00.000,1,г Москва
107,2021-07-06 00:00:00.000,finished,5,Python для аналитики данных,1715,mentor,2021-06-04 00:00:00.000,1,г Москва,676,mentee,2021-05-24 00:00:00.000,1,г Москва
109,2021-07-07 00:00:00.000,canceled,6,Машинное обучение,1431,mentor,2021-03-22 00:00:00.000,1,г Москва,4641,mentee,2021-02-15 00:00:00.000,8,Новосибирская обл
111,2021-07-08 00:00:00.000,canceled,6,Машинное обучение,3287,mentor,2021-05-22 00:00:00.000,1,г Москва,4374,mentee,2021-06-18 00:00:00.000,5,Ленинградская обл
112,2021-07-08 00:00:00.000,finished,4,DS,1064,mentor,2021-05-01 00:00:00.000,6,Московская обл,3805,mentee,2021-05-20 00:00:00.000,8,Новосибирская обл
113,2021-07-08 00:00:00.000,finished,1,Продуктовая аналитика,2134,mentor,2021-06-26 00:00:00.000,3,Ростовская обл,3241,mentee,2021-02-17 00:00:00.000,1,г Москва
114,2021-07-10 00:00:00.000,finished,1,Продуктовая аналитика,4234,mentor,2021-06-11 00:00:00.000,1,г Москва,4466,mentee,2021-03-12 00:00:00.000,1,г Москва
117,2021-07-11 00:00:00.000,finished,4,DS,3547,mentor,2021-02-12 00:00:00.000,3,Ростовская обл,1391,mentee,2021-05-19 00:00:00.000,1,г Москва
119,2021-07-12 00:00:00.000,canceled,6,Машинное обучение,179,mentor,2021-02-20 00:00:00.000,8,Новосибирская обл,2078,mentee,2021-02-09 00:00:00.000,1,г Москва
120,2021-07-12 00:00:00.000,finished,6,Машинное обучение,4863,mentor,2021-03-05 00:00:00.000,2,г Санкт-Петербург,1611,mentee,2021-07-06 00:00:00.000,8,Новосибирская обл
121,2021-07-13 00:00:00.000,finished,5,Python для аналитики данных,3108,mentor,2021-02-13 00:00:00.000,2,г Санкт-Петербург,2855,mentee,2021-06-20 00:00:00.000,1,г Москва
122,2021-07-13 00:00:00.000,finished,6,Машинное обучение,2195,mentor,2021-01-28 00:00:00.000,8,Новосибирская обл,1980,mentee,2021-05-31 00:00:00.000,7,Нижегородская обл
124,2021-07-14 00:00:00.000,finished,3,Визуализация данных,2262,mentor,2021-03-25 00:00:00.000,9,Омская обл,330,mentee,2021-03-20 00:00:00.000,2,г Санкт-Петербург
125,2021-07-15 00:00:00.000,finished,1,Продуктовая аналитика,2148,mentor,2021-07-15 00:00:00.000,9,Омская обл,422,mentee,2021-02-01 00:00:00.000,1,г Москва
126,2021-07-16 00:00:00.000,finished,3,Визуализация данных,1261,mentor,2021-03-01 00:00:00.000,6,Московская обл,3128,mentee,2021-01-26 00:00:00.000,1,г Москва
127,2021-07-16 00:00:00.000,finished,4,DS,3530,mentor,2021-06-09 00:00:00.000,1,г Москва,2258,mentee,2021-01-16 00:00:00.000,6,Московская обл
130,2021-07-17 00:00:00.000,finished,2,AB тестирование,4189,mentor,2021-07-05 00:00:00.000,8,Новосибирская обл,163,mentee,2021-03-19 00:00:00.000,6,Московская обл
131,2021-07-17 00:00:00.000,finished,5,Python для аналитики данных,47,mentor,2021-06-04 00:00:00.000,1,г Москва,22,mentee,2021-05-22 00:00:00.000,0,Другое
132,2021-07-18 00:00:00.000,finished,7,SQL,4910,mentor,2021-06-06 00:00:00.000,1,г Москва,3142,mentee,2021-03-01 00:00:00.000,1,г Москва
135,2021-07-20 00:00:00.000,canceled,6,Машинное обучение,1001,mentor,2021-06-15 00:00:00.000,10,Красноярский край,1329,mentee,2021-02-05 00:00:00.000,3,Ростовская обл
137,2021-07-21 00:00:00.000,finished,7,SQL,3425,mentor,2021-06-06 00:00:00.000,1,г Москва,1675,mentee,2021-06-12 00:00:00.000,6,Московская обл
138,2021-07-21 00:00:00.000,finished,6,Машинное обучение,4150,mentor,2021-02-17 00:00:00.000,1,г Москва,4925,mentee,2021-05-09 00:00:00.000,2,г Санкт-Петербург
139,2021-07-21 00:00:00.000,canceled,6,Машинное обучение,1759,mentor,2021-05-13 00:00:00.000,2,г Санкт-Петербург,1455,mentee,2021-06-04 00:00:00.000,5,Ленинградская обл
142,2021-07-23 00:00:00.000,finished,1,Продуктовая аналитика,27,mentor,2021-07-21 00:00:00.000,1,г Москва,247,mentee,2021-04-26 00:00:00.000,1,г Москва
143,2021-07-24 00:00:00.000,finished,7,SQL,165,mentor,2021-02-06 00:00:00.000,3,Ростовская обл,3360,mentee,2021-02-05 00:00:00.000,4,Краснодарский край
147,2021-07-25 00:00:00.000,finished,4,DS,1544,mentor,2021-02-14 00:00:00.000,1,г Москва,2258,mentee,2021-01-16 00:00:00.000,6,Московская обл
155,2021-07-30 00:00:00.000,finished,2,AB тестирование,4731,mentor,2021-01-24 00:00:00.000,3,Ростовская обл,682,mentee,2021-02-13 00:00:00.000,4,Краснодарский край
156,2021-07-30 00:00:00.000,canceled,5,Python для аналитики данных,2043,mentor,2021-02-06 00:00:00.000,2,г Санкт-Петербург,3151,mentee,2021-05-23 00:00:00.000,1,г Москва
157,2021-07-31 00:00:00.000,finished,6,Машинное обучение,1296,mentor,2021-02-28 00:00:00.000,1,г Москва,670,mentee,2021-04-04 00:00:00.000,2,г Санкт-Петербург
158,2021-07-31 00:00:00.000,canceled,1,Продуктовая аналитика,4344,mentor,2021-01-10 00:00:00.000,6,Московская обл,2937,mentee,2021-01-25 00:00:00.000,1,г Москва
159,2021-07-31 00:00:00.000,finished,1,Продуктовая аналитика,4832,mentor,2021-04-10 00:00:00.000,1,г Москва,676,mentee,2021-05-24 00:00:00.000,1,г Москва
160,2021-08-01 00:00:00.000,finished,4,DS,1492,mentor,2021-05-11 00:00:00.000,1,г Москва,2349,mentee,2021-04-13 00:00:00.000,2,г Санкт-Петербург
162,2021-08-01 00:00:00.000,finished,1,Продуктовая аналитика,3787,mentor,2021-02-21 00:00:00.000,9,Омская обл,4619,mentee,2021-05-30 00:00:00.000,1,г Москва
163,2021-08-01 00:00:00.000,finished,6,Машинное обучение,4843,mentor,2021-04-18 00:00:00.000,4,Краснодарский край,1488,mentee,2021-07-29 00:00:00.000,2,г Санкт-Петербург
168,2021-08-03 00:00:00.000,finished,2,AB тестирование,1291,mentor,2021-07-04 00:00:00.000,7,Нижегородская обл,1818,mentee,2021-05-19 00:00:00.000,1,г Москва
169,2021-08-04 00:00:00.000,finished,5,Python для аналитики данных,371,mentor,2021-02-09 00:00:00.000,4,Краснодарский край,605,mentee,2021-02-25 00:00:00.000,3,Ростовская обл
172,2021-08-05 00:00:00.000,finished,7,SQL,748,mentor,2021-07-06 00:00:00.000,2,г Санкт-Петербург,3273,mentee,2021-03-30 00:00:00.000,2,г Санкт-Петербург
173,2021-08-05 00:00:00.000,finished,6,Машинное обучение,1914,mentor,2021-03-16 00:00:00.000,1,г Москва,4687,mentee,2021-02-01 00:00:00.000,8,Новосибирская обл
175,2021-08-05 00:00:00.000,finished,4,DS,3530,mentor,2021-06-09 00:00:00.000,1,г Москва,4040,mentee,2021-01-04 00:00:00.000,6,Московская обл
176,2021-08-05 00:00:00.000,finished,4,DS,4221,mentor,2021-01-27 00:00:00.000,1,г Москва,4439,mentee,2021-07-08 00:00:00.000,1,г Москва
177,2021-08-05 00:00:00.000,finished,1,Продуктовая аналитика,4503,mentor,2021-07-26 00:00:00.000,10,Красноярский край,4389,mentee,2021-02-26 00:00:00.000,8,Новосибирская обл
180,2021-08-07 00:00:00.000,finished,1,Продуктовая аналитика,3322,mentor,2021-03-15 00:00:00.000,7,Нижегородская обл,4768,mentee,2021-02-13 00:00:00.000,7,Нижегородская обл
181,2021-08-08 00:00:00.000,finished,3,Визуализация данных,1233,mentor,2021-06-06 00:00:00.000,4,Краснодарский край,1424,mentee,2021-03-24 00:00:00.000,0,Другое
182,2021-08-08 00:00:00.000,finished,5,Python для аналитики данных,3029,mentor,2021-07-02 00:00:00.000,4,Краснодарский край,2762,mentee,2021-04-16 00:00:00.000,1,г Москва
184,2021-08-09 00:00:00.000,finished,1,Продуктовая аналитика,1872,mentor,2021-04-02 00:00:00.000,3,Ростовская обл,2676,mentee,2021-06-16 00:00:00.000,1,г Москва
186,2021-08-09 00:00:00.000,finished,1,Продуктовая аналитика,27,mentor,2021-07-21 00:00:00.000,1,г Москва,1675,mentee,2021-06-12 00:00:00.000,6,Московская обл
187,2021-08-10 00:00:00.000,finished,3,Визуализация данных,4412,mentor,2021-04-19 00:00:00.000,1,г Москва,3037,mentee,2021-07-07 00:00:00.000,9,Омская обл
188,2021-08-10 00:00:00.000,finished,5,Python для аналитики данных,3257,mentor,2021-07-26 00:00:00.000,3,Ростовская обл,4925,mentee,2021-05-09 00:00:00.000,2,г Санкт-Петербург
189,2021-08-10 00:00:00.000,finished,6,Машинное обучение,3097,mentor,2021-06-27 00:00:00.000,1,г Москва,2812,mentee,2021-06-03 00:00:00.000,1,г Москва
190,2021-08-10 00:00:00.000,finished,2,AB тестирование,2330,mentor,2021-06-07 00:00:00.000,6,Московская обл,3841,mentee,2021-01-04 00:00:00.000,4,Краснодарский край
191,2021-08-10 00:00:00.000,canceled,1,Продуктовая аналитика,3724,mentor,2021-03-05 00:00:00.000,1,г Москва,911,mentee,2021-04-17 00:00:00.000,6,Московская обл
192,2021-08-11 00:00:00.000,canceled,2,AB тестирование,2842,mentor,2021-04-06 00:00:00.000,3,Ростовская обл,3207,mentee,2021-06-20 00:00:00.000,1,г Москва
194,2021-08-11 00:00:00.000,finished,2,AB тестирование,985,mentor,2021-06-20 00:00:00.000,8,Новосибирская обл,386,mentee,2021-01-25 00:00:00.000,4,Краснодарский край
196,2021-08-12 00:00:00.000,finished,1,Продуктовая аналитика,2480,mentor,2021-02-28 00:00:00.000,2,г Санкт-Петербург,3844,mentee,2021-07-31 00:00:00.000,1,г Москва
199,2021-08-14 00:00:00.000,finished,7,SQL,4320,mentor,2021-07-03 00:00:00.000,1,г Москва,935,mentee,2021-04-22 00:00:00.000,6,Московская обл
200,2021-08-14 00:00:00.000,finished,3,Визуализация данных,1483,mentor,2021-02-24 00:00:00.000,1,г Москва,4398,mentee,2021-07-08 00:00:00.000,8,Новосибирская обл
202,2021-08-15 00:00:00.000,finished,4,DS,3941,mentor,2021-02-10 00:00:00.000,0,Другое,4052,mentee,2021-05-19 00:00:00.000,2,г Санкт-Петербург
203,2021-08-15 00:00:00.000,finished,6,Машинное обучение,3227,mentor,2021-04-11 00:00:00.000,8,Новосибирская обл,2923,mentee,2021-01-07 00:00:00.000,0,Другое
208,2021-08-17 00:00:00.000,finished,2,AB тестирование,985,mentor,2021-06-20 00:00:00.000,8,Новосибирская обл,1125,mentee,2021-02-07 00:00:00.000,4,Краснодарский край
209,2021-08-17 00:00:00.000,finished,4,DS,1544,mentor,2021-02-14 00:00:00.000,1,г Москва,1846,mentee,2021-03-11 00:00:00.000,1,г Москва
211,2021-08-18 00:00:00.000,finished,1,Продуктовая аналитика,3787,mentor,2021-02-21 00:00:00.000,9,Омская обл,4498,mentee,2021-06-13 00:00:00.000,1,г Москва
213,2021-08-18 00:00:00.000,finished,1,Продуктовая аналитика,3958,mentor,2021-08-04 00:00:00.000,1,г Москва,958,mentee,2021-05-04 00:00:00.000,1,г Москва
214,2021-08-19 00:00:00.000,finished,1,Продуктовая аналитика,802,mentor,2021-08-07 00:00:00.000,1,г Москва,4286,mentee,2021-05-01 00:00:00.000,6,Московская обл
216,2021-08-19 00:00:00.000,finished,6,Машинное обучение,1759,mentor,2021-05-13 00:00:00.000,2,г Санкт-Петербург,588,mentee,2021-07-23 00:00:00.000,6,Московская обл
218,2021-08-19 00:00:00.000,finished,6,Машинное обучение,2195,mentor,2021-01-28 00:00:00.000,8,Новосибирская обл,213,mentee,2021-01-08 00:00:00.000,2,г Санкт-Петербург
219,2021-08-20 00:00:00.000,finished,6,Машинное обучение,1001,mentor,2021-06-15 00:00:00.000,10,Красноярский край,1297,mentee,2021-05-22 00:00:00.000,1,г Москва
220,2021-08-20 00:00:00.000,finished,2,AB тестирование,1037,mentor,2021-06-10 00:00:00.000,1,г Москва,4153,mentee,2021-03-16 00:00:00.000,2,г Санкт-Петербург
222,2021-08-21 00:00:00.000,finished,7,SQL,4711,mentor,2021-01-30 00:00:00.000,4,Краснодарский край,2695,mentee,2021-05-07 00:00:00.000,1,г Москва
223,2021-08-22 00:00:00.000,finished,4,DS,4095,mentor,2021-07-22 00:00:00.000,1,г Москва,947,mentee,2021-01-19 00:00:00.000,7,Нижегородская обл
224,2021-08-22 00:00:00.000,finished,3,Визуализация данных,3493,mentor,2021-07-09 00:00:00.000,2,г Санкт-Петербург,1879,mentee,2021-01-07 00:00:00.000,6,Московская обл
225,2021-08-22 00:00:00.000,finished,2,AB тестирование,645,mentor,2021-08-15 00:00:00.000,6,Московская обл,3501,mentee,2021-08-09 00:00:00.000,0,Другое
226,2021-08-22 00:00:00.000,finished,5,Python для аналитики данных,977,mentor,2021-01-08 00:00:00.000,2,г Санкт-Петербург,3939,mentee,2021-02-08 00:00:00.000,2,г Санкт-Петербург
228,2021-08-23 00:00:00.000,canceled,6,Машинное обучение,3407,mentor,2021-03-21 00:00:00.000,6,Московская обл,1006,mentee,2021-08-02 00:00:00.000,3,Ростовская обл
230,2021-08-23 00:00:00.000,finished,2,AB тестирование,3588,mentor,2021-07-03 00:00:00.000,4,Краснодарский край,4769,mentee,2021-06-21 00:00:00.000,4,Краснодарский край
231,2021-08-24 00:00:00.000,finished,1,Продуктовая аналитика,4608,mentor,2021-03-19 00:00:00.000,1,г Москва,2510,mentee,2021-07-29 00:00:00.000,1,г Москва
232,2021-08-24 00:00:00.000,finished,4,DS,3748,mentor,2021-01-11 00:00:00.000,1,г Москва,2611,mentee,2021-01-25 00:00:00.000,1,г Москва
233,2021-08-24 00:00:00.000,canceled,6,Машинное обучение,4546,mentor,2021-02-18 00:00:00.000,4,Краснодарский край,3703,mentee,2021-05-31 00:00:00.000,7,Нижегородская обл
234,2021-08-25 00:00:00.000,finished,7,SQL,4320,mentor,2021-07-03 00:00:00.000,1,г Москва,60,mentee,2021-06-25 00:00:00.000,8,Новосибирская обл
237,2021-08-26 00:00:00.000,finished,6,Машинное обучение,1759,mentor,2021-05-13 00:00:00.000,2,г Санкт-Петербург,620,mentee,2021-03-26 00:00:00.000,1,г Москва
239,2021-08-27 00:00:00.000,finished,2,AB тестирование,4812,mentor,2021-06-11 00:00:00.000,1,г Москва,911,mentee,2021-04-17 00:00:00.000,6,Московская обл
243,2021-08-28 00:00:00.000,canceled,1,Продуктовая аналитика,4595,mentor,2021-02-20 00:00:00.000,1,г Москва,620,mentee,2021-03-26 00:00:00.000,1,г Москва
245,2021-08-28 00:00:00.000,finished,1,Продуктовая аналитика,802,mentor,2021-08-07 00:00:00.000,1,г Москва,974,mentee,2021-04-08 00:00:00.000,1,г Москва
247,2021-08-29 00:00:00.000,finished,7,SQL,2105,mentor,2021-05-05 00:00:00.000,1,г Москва,3982,mentee,2021-06-11 00:00:00.000,9,Омская обл
248,2021-08-30 00:00:00.000,canceled,5,Python для аналитики данных,742,mentor,2021-01-10 00:00:00.000,2,г Санкт-Петербург,1424,mentee,2021-03-24 00:00:00.000,0,Другое
249,2021-08-30 00:00:00.000,finished,2,AB тестирование,2532,mentor,2021-05-30 00:00:00.000,1,г Москва,1877,mentee,2021-07-25 00:00:00.000,1,г Москва
250,2021-08-30 00:00:00.000,finished,5,Python для аналитики данных,319,mentor,2021-05-08 00:00:00.000,1,г Москва,545,mentee,2021-03-05 00:00:00.000,1,г Москва
